,Symbol,Name,Sector
0,ABBV,AbbVie,Health Care
1,ACN,Accenture,Information Technology
2,AIG,American International Group,Financials
3,AMD,Advanced Micro Devices,Information Technology
4,AMGN,Amgen,Health Care
5,BA,Boeing,Industrials
6,BAC,Bank of America,Financials
7,BK,BNY Mellon,Financials
8,BMY,Bristol Myers Squibb,Health Care
9,CAT,Caterpillar Inc.,Industrials
10,COP,ConocoPhillips,Energy
11,COST,Costco,Consumer Staples
12,CRM,Salesforce,Information Technology
13,CSCO,Cisco,Information Technology
14,CVX,Chevron Corporation,Energy
15,DIS,Walt Disney Company (The),Communication Services
16,DUK,Duke Energy,Utilities
17,EMR,Emerson Electric,Industrials
18,FDX,FedEx,Industrials
19,GE,GE Aerospace,Industrials
20,GILD,Gilead Sciences,Health Care
21,GS,Goldman Sachs,Financials
22,HD,Home Depot,Consumer Discretionary
23,IBM,IBM,Information Technology
24,INTC,Intel,Information Technology
25,ISRG,Intuitive Surgical,Health Care
26,LIN,Linde plc,Materials
27,LMT,Lockheed Martin,Industrials
28,LOW,Lowe's,Consumer Discretionary
29,MDLZ,MondelÄ“z International,Consumer Staples
30,MET,MetLife,Financials
31,MO,Altria,Consumer Staples
32,MRK,Merck & Co.,Health Care
33,MSFT,Microsoft,Information Technology
34,NFLX,"Netflix, Inc.",Communication Services
35,NKE,"Nike, Inc.",Consumer Discretionary
36,ORCL,Oracle Corporation,Information Technology
37,PEP,PepsiCo,Consumer Staples
38,PFE,Pfizer,Health Care
39,PG,Procter & Gamble,Consumer Staples
40,PM,Philip Morris International,Consumer Staples
41,RTX,RTX Corporation,Industrials
42,SO,Southern Company,Utilities
43,SPG,Simon Property Group,Real Estate
44,TGT,Target Corporation,Consumer Discretionary
45,TMUS,T-Mobile US,Communication Services
46,TXN,Texas Instruments,Information Technology
47,USB,U.S. Bancorp,Financials
48,VZ,Verizon,Communication Services
49,WFC,Wells Fargo,Financials
50,XOM,ExxonMobil,Energy
